Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
2026352035,4/12/2016 0:00,1,503,546
2026352035,4/13/2016 0:00,1,531,565
2026352035,4/14/2016 0:00,1,545,568
2026352035,4/15/2016 0:00,1,523,573
2026352035,4/16/2016 0:00,1,524,567
2026352035,4/17/2016 0:00,1,437,498
2026352035,4/19/2016 0:00,1,498,540
2026352035,4/20/2016 0:00,1,461,510
2026352035,4/21/2016 0:00,1,477,514
2026352035,4/22/2016 0:00,1,520,545
2026352035,4/23/2016 0:00,1,522,554
2026352035,4/24/2016 0:00,1,555,591
2026352035,4/25/2016 0:00,1,506,531
2026352035,4/27/2016 0:00,1,508,545
2026352035,4/28/2016 0:00,1,513,545
2026352035,4/29/2016 0:00,1,490,510
2026352035,4/30/2016 0:00,1,573,607
2026352035,5/1/2016 0:00,1,527,546
2026352035,5/2/2016 0:00,1,511,543
2026352035,5/4/2016 0:00,1,538,560
2026352035,5/5/2016 0:00,1,468,485
2026352035,5/6/2016 0:00,1,524,548
2026352035,5/7/2016 0:00,1,511,521
2026352035,5/8/2016 0:00,1,541,568
2026352035,5/9/2016 0:00,1,531,556
2026352035,5/10/2016 0:00,1,357,380
2026352035,5/11/2016 0:00,1,523,553
2026352035,5/12/2016 0:00,1,456,485
2347167796,4/13/2016 0:00,1,467,531
2347167796,4/14/2016 0:00,1,445,489
2347167796,4/15/2016 0:00,1,452,504
2347167796,4/17/2016 0:00,1,556,602
2347167796,4/18/2016 0:00,1,500,557
2347167796,4/19/2016 0:00,1,465,514
2347167796,4/21/2016 0:00,1,460,484
2347167796,4/22/2016 0:00,1,405,461
2347167796,4/23/2016 0:00,1,374,386
2347167796,4/24/2016 0:00,1,442,459
2347167796,4/25/2016 0:00,1,433,471
2347167796,4/26/2016 0:00,1,436,490
2347167796,4/27/2016 0:00,1,448,499
2347167796,4/28/2016 0:00,1,408,450
2347167796,4/29/2016 0:00,1,411,473
4020332650,4/12/2016 0:00,1,501,541
4020332650,4/16/2016 0:00,1,77,77
4020332650,5/3/2016 0:00,1,322,332
4020332650,5/4/2016 0:00,1,478,536
4020332650,5/5/2016 0:00,1,226,248
4020332650,5/6/2016 0:00,1,385,408
4020332650,5/8/2016 0:00,1,364,402
4020332650,5/10/2016 0:00,1,442,494
4388161847,4/15/2016 0:00,1,499,526
4388161847,4/16/2016 0:00,2,426,448
4388161847,4/17/2016 0:00,2,619,641
4388161847,4/18/2016 0:00,1,99,104
4388161847,4/19/2016 0:00,1,329,338
4388161847,4/20/2016 0:00,1,421,451
4388161847,4/21/2016 0:00,1,442,458
4388161847,4/22/2016 0:00,1,82,85
4388161847,4/23/2016 0:00,1,478,501
4388161847,4/24/2016 0:00,3,552,595
4388161847,4/26/2016 0:00,1,319,346
4388161847,4/27/2016 0:00,1,439,500
4388161847,4/28/2016 0:00,1,428,458
4388161847,4/30/2016 0:00,2,409,430
4388161847,5/1/2016 0:00,1,547,597
4388161847,5/2/2016 0:00,2,368,376
4388161847,5/4/2016 0:00,1,390,414
4388161847,5/5/2016 0:00,1,471,495
4388161847,5/6/2016 0:00,1,476,500
4388161847,5/7/2016 0:00,1,472,496
4388161847,5/8/2016 0:00,2,529,541
4388161847,5/9/2016 0:00,1,62,65
4388161847,5/10/2016 0:00,1,354,375
4388161847,5/11/2016 0:00,1,469,494
4558609924,4/21/2016 0:00,1,126,137
4558609924,4/26/2016 0:00,1,103,121
4558609924,4/29/2016 0:00,1,171,179
4558609924,5/1/2016 0:00,1,115,129
4558609924,5/8/2016 0:00,1,123,134
5553957443,4/12/2016 0:00,1,441,464
5553957443,4/13/2016 0:00,2,455,488
5553957443,4/14/2016 0:00,1,357,418
5553957443,4/15/2016 0:00,1,377,409
5553957443,4/16/2016 0:00,2,651,686
5553957443,4/17/2016 0:00,1,350,402
5553957443,4/18/2016 0:00,2,520,541
5553957443,4/19/2016 0:00,1,357,410
5553957443,4/20/2016 0:00,1,658,678
5553957443,4/21/2016 0:00,1,399,431
5553957443,4/22/2016 0:00,1,322,353
5553957443,4/23/2016 0:00,2,631,725
5553957443,4/24/2016 0:00,2,553,640
5553957443,4/25/2016 0:00,1,433,468
5553957443,4/26/2016 0:00,1,412,453
5553957443,4/27/2016 0:00,1,347,391
5553957443,4/28/2016 0:00,1,421,457
5553957443,4/29/2016 0:00,1,450,495
5553957443,4/30/2016 0:00,2,775,843
5553957443,5/1/2016 0:00,2,622,686
5553957443,5/2/2016 0:00,1,409,471
5553957443,5/3/2016 0:00,1,380,429
5553957443,5/4/2016 0:00,1,447,470
5553957443,5/5/2016 0:00,1,419,464
5553957443,5/6/2016 0:00,1,400,434
5553957443,5/7/2016 0:00,1,442,470
5553957443,5/8/2016 0:00,1,568,608
5553957443,5/9/2016 0:00,1,453,494
5553957443,5/10/2016 0:00,1,418,443
5553957443,5/11/2016 0:00,1,463,486
5553957443,5/12/2016 0:00,1,438,475
